col1,cluster,ra_1,dec_1,RA_2,DEC_2,SIDEPROB,FPEAK,FINT,RMS,MAJOR,MINOR,POSANG,FITTED_MAJOR,FITTED_MINOR,FITTED_POSANG,FLDNAME,NSDSS,SDSS_SEP,SDSS_MAG,SDSS_CLASS,NTMASS,TMASS_SEP,TMASS_MAG,YEAR,MJD,MJDRMS,MJDSTART,MJDSTOP,GroupID,GroupSize,Separation
14,ACT-CLJ0206.9-0119,31.7441253662,-1.337459445,31.75693381012302,-1.252966613613928,0.014053002,2.01,1.6788069,0.1515384,0.55,0.0,84.3,5.5,5.25,54.9,02075-01050E,1,7.502936,22.196259,s,0,99.0,99.0,1995.8881,2450042.643806035,5.0720896743458,2450039.750868056,2450052.717233797,11,3,307.6475609890867
14,ACT-CLJ0206.9-0119,31.7441253662,-1.337459445,31.74230012982627,-1.2654611640399969,0.016282696,1.54,1.4564341,0.15228647,3.42,0.0,99.9,6.44,5.06,107.2,02075-01050E,0,99.0,99.0,-,0,99.0,99.0,1995.8888,2450042.919419042,5.1827813919566745,2450039.750868056,2450052.717233797,11,3,259.27704429861393
14,ACT-CLJ0206.9-0119,31.7441253662,-1.337459445,31.788212661427092,-1.325955509188565,0.093983844,1.75,2.1,0.15136598,2.94,2.21,125.6,6.88,6.02,170.7,02075-01310E,1,0.2128814,15.004337,g,1,0.2642336,13.03,1995.8984,2450046.4339095866,6.292011260176882,2450039.750868056,2450052.717233797,11,3,163.98702588928163
15,ACT-CLJ0207.2+0536,31.8071212769,5.60670471191,31.80264485114333,5.609247178982898,0.014053002,82.3,104.507454,0.13529593,4.12,1.81,146.8,7.47,5.87,162.0,02075+05256T,3,0.49430647,16.629662,g,1,7.4630365,15.175,2009.24,2454920.0804509567,1.4646517175850235,2454918.4326736117,2454921.3854166674,,,18.465989429737586
16,ACT-CLJ0207.7+0020,31.9467277527,0.345353573561,31.870028082400093,0.393866673789767,0.014053002,4.81,4.5462937,0.10343022,0.0,0.0,74.4,6.14,5.32,4.5,02075+00130Z,2,0.21099247,21.82502,g,0,99.0,99.0,1999.2449,2451268.8788232305,1232.2411833204908,2450013.8220370375,2452492.002546297,12,3,326.7109616599012
16,ACT-CLJ0207.7+0020,31.9467277527,0.345353573561,31.939241804354417,0.39201110349134494,0.37458274,0.84,0.8542373,0.1050523,5.84,0.0,60.8,8.16,4.32,54.8,02075+00130Z,1,6.5108953,20.464996,g,0,99.0,99.0,1999.1937,2451250.224764212,1232.5580637988342,2450013.8220370375,2452492.002546297,12,3,170.11522592507242
16,ACT-CLJ0207.7+0020,31.9467277527,0.345353573561,31.86104979873611,0.37621388979731035,0.014053002,57.54,60.784096,0.10332007,1.72,1.01,36.3,6.58,5.55,4.2,02075+00130Z,1,0.18100865,22.108213,g,0,99.0,99.0,1999.2513,2451271.235913904,1231.3561781844344,2450013.8220370375,2452492.002546297,12,3,327.8329217987548
17,ACT-CLJ0208.2-0237,32.070476532,-2.62555980682,32.09297911728765,-2.612463901155956,0.014053002,1.1600001,1.5041757,0.13982907,4.36,2.1,175.6,7.74,5.8,177.6,02075-02490T,2,2.0283232,19.881563,g,0,99.0,99.0,1997.2037,2450523.8603751697,168.05231752067343,2450078.644490741,2450587.299305556,13,3,93.6561848651965
17,ACT-CLJ0208.2-0237,32.070476532,-2.62555980682,31.98745269461095,-2.6278749423576206,0.014053002,1.34,1.6719267,0.14727958,4.76,0.0,42.3,7.71,5.57,30.1,02075-02490T,0,99.0,99.0,-,0,99.0,99.0,1997.0111,2450453.5610471955,223.91006776022004,2450078.644490741,2450587.299305556,13,3,298.6880815974262
17,ACT-CLJ0208.2-0237,32.070476532,-2.62555980682,31.994720015887843,-2.6710611612625534,0.014053002,1.45,1.1237501,0.14444159,0.0,0.0,19.7,6.11,4.38,7.5,02075-02490T,0,99.0,99.0,-,0,99.0,99.0,1997.18,2450515.2329450096,177.36125800722232,2450078.644490741,2450587.299305556,13,3,317.88571239003346
